ID	ALIGNMENT	CLASSES	COGID	COGIDS	COGNACY	CONCEPT	DOCULECT	DUPLICATES	FORM	IPA	LANGID	LANGUAGE_NAME	MORPHEMES	NUMBERS	PROSTRINGS	SONARS	TOKENS	VALUE	WEIGHTS	NOTE	BORROWING
4263	a m ã g	AMAK	381	2809	enterrar	BURY	Karitiana	0	amãg	amãg	35	Karitiana	BURY	35.A.V 35.M.C 35.A.V 35.K.c	XBYN	7 4 7 1	a m ã g	amãg	1.5 1.75 1.3 0.8		
4264	g a - - - - - - - -	KA	2037	14667	roca1	SLASH	Karitiana	0	ga	ga	35	Karitiana	SLASH	35.K.C 35.A.V	AX	1 7	g a	ga	2.0 1.5		
4265	k ɨ n k o n	KINKUN	389	2858	borboleta	BUTTERFLY	Karitiana	0	kɨnkon	kɨnkon	35	Karitiana	BUTTERFLY	35.K.C 35.I.V 35.N.c 35.K.C 35.U.V 35.N.c	AXMBYN	1 7 4 1 7 4	k ɨ n k o n	kɨnkon	2.0 1.5 1.1 1.75 1.3 0.8		
4266	m o j o t o	MUJUTU	402	2944	cabacacuia	CALABASH / GOURD	Karitiana	0	mojoto	mojoto	35	Karitiana	CALABASH	35.M.C 35.U.V 35.J.C 35.U.V 35.T.C 35.U.V	AXBYBZ	4 7 6 7 1 7	m o j o t o	mojoto	2.0 1.5 1.75 1.3 1.75 0.8		
4267	g o j - o	KUJU	408	3005	canoa8	CANOE	Karitiana	0	gojo	gojo	35	Karitiana	CANOE	35.K.C 35.U.V 35.J.C 35.U.V	AXBZ	1 7 6 7	g o j o	gojo	2.0 1.5 1.75 0.8		
4268	- - p - - i - k õ m	PIKUM	413	3069	macacoprego	CAPUCHIN MONKEY	Karitiana	0	pikõm	pikõm	35	Karitiana	CAPUCHIN	35.P.C 35.I.V 35.K.C 35.U.V 35.M.c	AXBYN	1 7 1 7 4	p i k õ m	pikõm	2.0 1.5 1.75 1.3 0.8		
4269	s ɨ - - tʰ eː ɲ	SITEN	3213	1244	capivara	CAPYBARA	Karitiana	0	sɨtheeɲ	sɨtʰeːɲ	35	Karitiana	CAPYBARA	35.S.C 35.I.V 35.T.C 35.E.V 35.N.c	AXBYN	3 7 1 7 4	s ɨ tʰ eː ɲ	sɨtheeɲ	2.0 1.5 1.75 1.3 0.8		
4270	p o k o h o -	PUKUHU	429	3152	inhame	CARÁ ROOT / YAM	Karitiana	0	pokoho	pokoho	35	Karitiana	YAM	35.P.C 35.U.V 35.K.C 35.U.V 35.H.C 35.U.V	AXBYBZ	1 7 1 7 3 7	p o k o h o	pokoho	2.0 1.5 1.75 1.3 1.75 0.8		
4271	i r i p o h ɨ	IRIPUHI	435	3192	caju	CASHEW	Karitiana	0	iripohɨ	iripohɨ	35	Karitiana	CASHEW	35.I.V 35.R.C 35.I.V 35.P.C 35.U.V 35.H.C 35.I.V	XBYBYBZ	7 5 7 1 7 3 7	i r i p o h ɨ	iripohɨ	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
4272	ɨ r ɨ n	ITN	466	3328	cigarra	CICADA	Karitiana	0	ɨrɨn	ɨtŋ	35	Karitiana	CICADA	35.I.V 35.T.C 35.N.C	XBC	7 1 4	ɨ r ɨ n	ɨrɨn	1.5 1.75 1.5		
4273	- p ɨ s o k õ	PISUKU	472	3363	garra14	NAIL / CLAW	Karitiana	0	pɨsokõ	pɨsokõ	35	Karitiana	CLAW	35.P.C 35.I.V 35.S.C 35.U.V 35.K.C 35.U.V	AXBYBZ	1 7 3 7 1 7	p ɨ s o k õ	pɨsokõ	2.0 1.5 1.75 1.3 1.75 0.8		
4274	e s ɨ r a	ESIRA	486	3420	nuvem	CLOUD	Karitiana	0	esɨra	esɨra	35	Karitiana	CLOUD	35.E.V 35.S.C 35.I.V 35.R.C 35.A.V	XBYBZ	7 3 7 5 7	e s ɨ r a	esɨra	1.5 1.75 1.3 1.75 0.8		
4275	i r i s a	IRISA	501	3494	quati	COATI	Karitiana	0	irisa	irisa	35	Karitiana	COATI	35.I.V 35.R.C 35.I.V 35.S.C 35.A.V	XBYBZ	7 5 7 3 7	i r i s a	irisa	1.5 1.75 1.3 1.75 0.8		
4276	m ɨ - - k ɨ p a - - -	MIKIPA	1641	3137	barata	COCKROACH	Karitiana	0	mɨkɨpa	mɨkɨpa	35	Karitiana	COCKROACH	35.M.C 35.I.V 35.K.C 35.I.V 35.P.C 35.A.V	AXBYBZ	4 7 1 7 1 7	m ɨ k ɨ p a	mɨkɨpa	2.0 1.5 1.75 1.3 1.75 0.8		
4277	k õ m o	KUMU	3179	1199	cacau	COCOA	Karitiana	0	kõmo	kõmo	35	Karitiana	COCOA	35.K.C 35.U.V 35.M.C 35.U.V	AXBZ	1 7 4 7	k õ m o	kõmo	2.0 1.5 1.75 0.8		
4278	k eõ n	KEN	525	3620	frio	COLD	Karitiana	0	keõn	keõn	35	Karitiana	COLD	35.K.C 35.E.V 35.N.c	AXN	1 7 4	k eõ n	keõn / anik	2.0 1.5 0.8		
4279	- a n i k	ANIK	524	3622	frio	COLD	Karitiana	0	anik	anik	35	Karitiana	COLD	35.A.V 35.N.C 35.I.V 35.K.c	XBYN	7 4 7 1	a n i k	keõn / anik	1.5 1.75 1.3 0.8		
4280	- ɨ r ɨ t	IRIT	542	3744	vir	COME	Karitiana	0	ɨrɨt	ɨrɨt	35	Karitiana	COME	35.I.V 35.R.C 35.I.V 35.T.c	XBYN	7 5 7 1	ɨ r ɨ t	ɨrɨt	1.5 1.75 1.3 0.8		
4281	g i j o -	KIJU	556	3811	milho	CORN / MAIZE	Karitiana	0	gijo	gijo	35	Karitiana	CORN	35.K.C 35.I.V 35.J.C 35.U.V	AXBZ	1 7 6 7	g i j o	gijo	2.0 1.5 1.75 0.8		
4282	e r e r ɨ - - -	ERERI	560	3878	algodao3	COTTON	Karitiana	0	ererɨ	ererɨ	35	Karitiana	COTTON	35.E.V 35.R.C 35.E.V 35.R.C 35.I.V	XBYBZ	7 5 7 5 7	e r e r ɨ	ererɨ	1.5 1.75 1.3 1.75 0.8		
4283	- a r e - - - - - -	ARE	564	3946	carangueijo	CRAB	Karitiana	0	are	are	35	Karitiana	CRAB	35.A.V 35.R.C 35.E.V	XBZ	7 5 7	a r e	are	1.5 1.75 0.8		
4284	p a s ẽ n	PASEN	573	3993	grilo	CRICKET (zool)	Karitiana	0	pasẽn	pasẽn	35	Karitiana	CRICKET	35.P.C 35.A.V 35.S.C 35.E.V 35.N.c	AXBYN	1 7 3 7 4	p a s ẽ n	pasẽn	2.0 1.5 1.75 1.3 0.8		
4285	h ɨ r ɨ p	HIRIP	581	4037	chorar	CRY	Karitiana	0	hɨrɨp	hɨrɨp	35	Karitiana	CRY	35.H.C 35.I.V 35.R.C 35.I.V 35.P.c	AXBYN	3 7 5 7 1	h ɨ r ɨ p	hɨrɨp	2.0 1.5 1.75 1.3 0.8		
4287	- - ʔ e t	HET	608	4284	filhademulher	DAUGHTER OF WOMAN	Karitiana	0	ʔet	ʔet	35	Karitiana	DAUGHTER	35.H.C 35.E.V 35.T.c	AXN	1 7 1	ʔ e t	ʔet	2.0 1.5 0.8		
4288	- ʔ - i t -	HIT	598	4284	filhadehomem	DAUGHTER OF MAN	Karitiana	1	ʔit	ʔit	35	Karitiana	DAUGHTER	35.H.C 35.I.V 35.T.c	AXN	1 7 1	ʔ i t	ʔit	2.0 1.5 0.8		
4289	n e	NE	619	1992	veado	DEER	Karitiana	0	ne	ne	35	Karitiana	DEER	35.N.C 35.E.V	AX	4 7	n e	ne (nde)	2.0 1.5		
4290	- - g ɨ j - - -	KIJ	4754	3239	defecar	DEFECATE	Karitiana	0	gɨj	gɨj	35	Karitiana	DEFECATE	35.K.C 35.I.V 35.J.c	AXN	1 7 6	g ɨ j	gɨj	2.0 1.5 0.8		
4291	- p o p - -	PUP	638	4511	morrer	DIE	Karitiana	0	pop	pop	35	Karitiana	DIE	35.P.C 35.U.V 35.P.c	AXN	1 7 1	p o p	pop	2.0 1.5 0.8		
4292	- - - - õ m/b a k ɨ	UPAKI	677	4729	cachorrocao2	DOG	Karitiana	0	õmbakɨ	õmb/ⁿbakɨ	35	Karitiana	DOG	35.U.V 35.P.C 35.A.V 35.K.C 35.I.V	XBYBZ	7 1 7 1 7	õ m/b a k ɨ	õmbakɨ	1.5 1.75 1.3 1.75 0.8		
4293	p i - h o p -	PIHUP	4645	3086	secar	DRY	Karitiana	0	pihop	pihop	35	Karitiana	DRY	35.P.C 35.I.V 35.H.C 35.U.V 35.P.c	AXBYN	1 7 3 7 1	p i h o p	pihop	2.0 1.5 1.75 1.3 0.8		
4294	- p i p a s eː p	PIPASEP	4639	3080	seco	DRY (state)	Karitiana	0	pipaseep	pipaseːp	35	Karitiana	DRY	35.P.C 35.I.V 35.P.C 35.A.V 35.S.C 35.E.V 35.P.c	AXBYBYN	1 7 1 7 3 7 1	p i p a s eː p	pipaseep	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
4295	e j e p i - -	EJEPI	728	5132	terrapais	EARTH / LAND	Karitiana	0	ejepi	ejepi	35	Karitiana	EARTH	35.E.V 35.J.C 35.E.V 35.P.C 35.I.V	XBYBZ	7 6 7 1 7	e j e p i	ejepi	1.5 1.75 1.3 1.75 0.8	Of Cariban origin in Proto-Mawe-Awetí-Tupí-Guaraní	YES
4296	o p i r i + s a p	UPIRISAP	1560	176 154	orelha	EAR	Karitiana	0	opirisap	opirisap	35	Karitiana	EAR HAIR	35.U.V 35.P.C 35.I.V 35.R.C 35.I.V 35.S.C 35.A.V 35.P.c	XBYBYBYN	7 1 7 5 7 3 7 1	o p i r i + s a p	opirisap	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8		
4297	p ɨ t + - ʔ ɨ -	PITHI	735	151 5200	comer	EAT (intr.)	Karitiana	0	pɨtʔɨ	pɨtʔɨ	35	Karitiana	ASSERTIVE EAT	35.P.C 35.I.V 35.T.c 35.H.C 35.I.V	AXMBZ	1 7 1 1 7	p ɨ t + ʔ ɨ	pɨtʔɨ	2.0 1.5 1.1 1.75 0.8	intr.	
4298	s - ɨ p - i - -	SIPI	743	5298	ovo	EGG	Karitiana	0	sɨpi	sɨpi	35	Karitiana	EGG	35.S.C 35.I.V 35.P.C 35.I.V	AXBZ	3 7 1 7	s ɨ p i	sɨpi	2.0 1.5 1.75 0.8		
4299	o r o r o -	URURU	440	3231	embaubaimbauba	CECROPIA	Karitiana	0	ororo	ororo	35	Karitiana	CECROPIA	35.U.V 35.R.C 35.U.V 35.R.C 35.U.V	XBYBZ	7 5 7 5 7	o r o r o	ororo	1.5 1.75 1.3 1.75 0.8		
4300	ɲ ɨ̃ ɲ ɨ̃ t ɨ	NINITI	752	5360	enguiapeixeeletricoporaque	EEL	Karitiana	0	ɲɨ̃ɲɨ̃tɨ	ɲɨ̃ɲɨ̃tɨ	35	Karitiana	EEL	35.N.C 35.I.V 35.N.C 35.I.V 35.T.C 35.I.V	AXBYBZ	4 7 4 7 1 7	ɲ ɨ̃ ɲ ɨ̃ t ɨ	ɲɨ̃ɲɨ̃tɨ	2.0 1.5 1.75 1.3 1.75 0.8		
4301	- s ɨ - - - p o	SIPU	3796	2075	olho	EYE	Karitiana	0	sɨpo	sɨpo	35	Karitiana	EYE	35.S.C 35.I.V 35.P.C 35.U.V	AXBZ	3 7 1 7	s ɨ p o	sɨpo	2.0 1.5 1.75 0.8	Also means 'seed'	
4302	a s o - -	ASU	3318	1387	cararostoface	FACE	Karitiana	0	aso	aso	35	Karitiana	FACE	35.A.V 35.S.C 35.U.V	XBZ	7 3 7	a s o	aso	1.5 1.75 0.8		
4303	- o - - p a -	UPA	791	5635	longe	FAR	Karitiana	0	opa	opa	35	Karitiana	FAR	35.U.V 35.P.C 35.A.V	XBZ	7 1 7	o p a	opa	1.5 1.75 0.8		
4304	o r o ia	URUJA	801	5700	gordurabanha	FAT / GREASE	Karitiana	0	oroja	oroja	35	Karitiana	FAT	35.U.V 35.R.C 35.U.V 35.J.C 35.A.V	XBYBZ	7 5 7 6 7	o r o ia	oroja	1.5 1.75 1.3 1.75 0.8		
4305	- - s ɨ p - -	SIP	802	5755	pai	FATHER	Karitiana	0	sɨp	sɨp	35	Karitiana	FATHER	35.S.C 35.I.V 35.P.c	AXN	3 7 1	s ɨ p	sɨp / ʔit	2.0 1.5 0.8		
4306	ʔ i t	HIT	806	5760	pai	FATHER	Karitiana	0	ʔit	ʔit	35	Karitiana	FATHER	35.H.C 35.I.V 35.T.c	AXN	1 7 1	ʔ i t	sɨp / ʔit	2.0 1.5 0.8		
4307	p a p - ɨ	PAPI	816	5886	penapluma	FEATHER	Karitiana	0	papɨ	papɨ	35	Karitiana	FEATHER	35.P.C 35.A.V 35.P.C 35.I.V	AXBZ	1 7 1 7	p a p ɨ	papɨ	2.0 1.5 1.75 0.8		
4308	- - - õ p i	UPI	823	5942	dedo	FINGER	Karitiana	0	õpi	õpi	35	Karitiana	FINGER	35.U.V 35.P.C 35.I.V	XBZ	7 1 7	õ p i	õpi	1.5 1.75 0.8		
4309	- i s o	ISU	3928	2262	fogo4	FIRE	Karitiana	0	iso	iso	35	Karitiana	FIRE	35.I.V 35.S.C 35.U.V	XBZ	7 3 7	i s o	iso	1.5 1.75 0.8		
4310	h ɨ mʰ ɨ m - - ã -	HIMIMA	3954	2309	vagalumepirilampo	FIREFLY / GLOWWORM	Karitiana	0	hɨmhɨmã	hɨmʰɨmã	35	Karitiana	FIREFLY	35.H.C 35.I.V 35.M.C 35.I.V 35.M.C 35.A.V	AXBYBZ	3 7 4 7 4 7	h ɨ mʰ ɨ m ã	hɨmhɨmã	2.0 1.5 1.75 1.3 1.75 0.8		
4311	s õ g - - - -	SUK	858	6122	lenha	FIREWOOD	Karitiana	0	sõg	sõg	35	Karitiana	FIREWOOD	35.S.C 35.U.V 35.K.c	AXN	3 7 1	s õ g	sõg	2.0 1.5 0.8		
4312	- i p	IP	864	6176	peixe	FISH	Karitiana	0	ip	ip	35	Karitiana	FISH	35.I.V 35.P.c	XN	7 1	i p	ip	1.5 0.8		
4313	ŋ e - - - p	NEP	886	6324	pulga	FLEA / CHIGGER	Karitiana	0	ŋep	ŋep	35	Karitiana	FLEA	35.N.C 35.E.V 35.P.c	AXN	4 7 1	ŋ e p	ŋep	2.0 1.5 0.8		
4314	p i s ɨ p g ɨ j ɨ m ɨ	PISIPKIJIMI	897	6368	carne	FLESH / MEAT	Karitiana	0	pisɨpgɨjɨmɨ	pisɨpgɨjɨmɨ	35	Karitiana	FLESH	35.P.C 35.I.V 35.S.C 35.I.V 35.P.c 35.K.C 35.I.V 35.J.C 35.I.V 35.M.C 35.I.V	AXBYMBYBYBZ	1 7 3 7 1 1 7 6 7 4 7	p i s ɨ p g ɨ j ɨ m ɨ	pisɨpgɨjɨmɨ	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.3 1.75 0.8		
4315	e w o s iː t	EWUSIT	920	6488	flor	FLOWER	Karitiana	0	ewosiit	ewosiːt	35	Karitiana	FLOWER	35.E.V 35.W.C 35.U.V 35.S.C 35.I.V 35.T.c	XBYBYN	7 6 7 3 7 1	e w o s iː t	ewosiit	1.5 1.75 1.3 1.75 1.3 0.8		
4316	m ã r ã m - - - - -	MARAM	930	6604	mosca	FLY (insect)	Karitiana	0	mãrãm	mãrãm	35	Karitiana	FLY	35.M.C 35.A.V 35.R.C 35.A.V 35.M.c	AXBYN	4 7 5 7 4	m ã r ã m	mãrãm	2.0 1.5 1.75 1.3 0.8		
4317	- - - t iɨ -	TI	939	6663	comida	FOOD	Karitiana	0	tiɨ	tiɨ	35	Karitiana	FOOD	35.T.C 35.I.V	AX	1 7	t iɨ	tiɨ	2.0 1.5		
4318	- - p i - - - -	PI	944	6716	pe1	FOOT	Karitiana	0	pi	pi	35	Karitiana	FOOT	35.P.C 35.I.V	AX	1 7	p i	pi	2.0 1.5		
4319	o t a nː ɨ m ɨ n	UTANIMIN	959	6823	quatro	FOUR	Karitiana	0	otannɨmɨn	otanːɨmɨn	35	Karitiana	FOUR	35.U.V 35.T.C 35.A.V 35.N.C 35.I.V 35.M.C 35.I.V 35.N.c	XBYBYBYN	7 1 7 4 7 4 7 4	o t a nː ɨ m ɨ n	otannɨmɨn	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8		
4320	k ɨ r ɨ - - - r ɨ - t - -	KIRIRIT	967	6875	sapo	FROG / TOAD	Karitiana	0	kɨrɨrɨt	kɨrɨrɨt	35	Karitiana	FROG	35.K.C 35.I.V 35.R.C 35.I.V 35.R.C 35.I.V 35.T.c	AXBYBYN	1 7 5 7 5 7 1	k ɨ r ɨ r ɨ t	kɨrɨrɨt	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
4321	k i - n - ao	KINA	978	6944	fruta	FRUIT	Karitiana	0	kinao	kinao	35	Karitiana	FRUIT	35.K.C 35.I.V 35.N.C 35.A.V	AXBZ	1 7 4 7	k i n ao	kinao	2.0 1.5 1.75 0.8		
4322	o s ɨ k	USIK	985	6996	cheio	FULL	Karitiana	0	osɨk	osɨk	35	Karitiana	FULL	35.U.V 35.S.C 35.I.V 35.K.c	XBYN	7 3 7 1	o s ɨ k	osɨk	1.5 1.75 1.3 0.8		
4323	k i n a p a s - o ɲ	KINAPASUN	4751	3229	jenipapogenipa	GENIPA	Karitiana	0	kinapasoɲ	kinapasoɲ	35	Karitiana	GENIPA	35.K.C 35.I.V 35.N.C 35.A.V 35.P.C 35.A.V 35.S.C 35.U.V 35.N.c	AXBYBYBYN	1 7 4 7 1 7 3 7 4	k i n a p a s o ɲ	kinapasoɲ	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8		
4324	m ɨĩ - - - - n ã	MINA	1001	7137	menina	GIRL	Karitiana	0	mɨĩnã	mɨĩnã	35	Karitiana	GIRL	35.M.C 35.I.V 35.N.C 35.A.V	AXBZ	4 7 4 7	m ɨĩ n ã	mɨĩnã	2.0 1.5 1.75 0.8		
4325	h i t	HIT	1018	7192	dar	GIVE	Karitiana	0	hit	hit	35	Karitiana	GIVE	35.H.C 35.I.V 35.T.c	AXN	3 7 1	h i t	hit	2.0 1.5 0.8		
4326	- a m o	AMU	1032	7367	subir	GO UP	Karitiana	0	amo	amo	35	Karitiana	GO	35.A.V 35.M.C 35.U.V	XBZ	7 4 7	a m o	amo	1.5 1.75 0.8		
4327	s ea - - - -	SE	1039	7416	bombem	GOOD / WELL	Karitiana	0	sea	sea	35	Karitiana	GOOD	35.S.C 35.E.V	AX	3 7	s ea	sea	2.0 1.5		
4328	õ m + b ɨ j	YMIJ	1042	7485 1167	avo1	GRANDFATHER	Karitiana	0	õmbɨj	umɨj	35	Karitiana	I CHIEF	35.Y.V 35.M.C 35.I.V 35.J.c	XBYN	7 4 7 6	õ m + b ɨ j	õmbɨj	1.5 1.75 1.3 0.8	Mother's father (man's speech)	
4329	- - - - k e r a - - - -	KERA	1061	14440	verde	GREEN	Karitiana	0	kera	kera	35	Karitiana	UNRIPE	35.K.C 35.E.V 35.R.C 35.A.V	AXBZ	1 7 5 7	k e r a	kera	2.0 1.5 1.75 0.8		
4330	- k e r e p	KEREP	1080	7702	crescer	GROW	Karitiana	0	kerep	kerep	35	Karitiana	GROW	35.K.C 35.E.V 35.R.C 35.E.V 35.P.c	AXBYN	1 7 5 7 1	k e r e p	kerep	2.0 1.5 1.75 1.3 0.8		
4331	- õ h ĩ n - - a	UHINA	1067	7671	camaleao	GREEN IGUANA	Karitiana	0	õhĩna	õhĩna	35	Karitiana	GREEN_IGUANA	35.U.V 35.H.C 35.I.V 35.N.C 35.A.V	XBYBZ	7 3 7 4 7	õ h ĩ n a	õhĩna	1.5 1.75 1.3 1.75 0.8		
4332	p a ĩ ɲ	PAIN	1094	7741	jacu	GUAN / JACU	Karitiana	0	paĩɲ	paĩɲ	35	Karitiana	GUAN	35.P.C 35.A.V 35.I.V 35.N.c	AXYN	1 7 7 4	p a ĩ ɲ	paĩɲ	2.0 1.5 1.3 0.8		
4333	- - - - o s o p o t -	USUPUT	1096	7781	cabelo	HAIR	Karitiana	0	osopot	osopot	35	Karitiana	HAIR	35.U.V 35.S.C 35.U.V 35.P.C 35.U.V 35.T.c	XBYBYN	7 3 7 1 7 1	o s o p o t	osopot	1.5 1.75 1.3 1.75 1.3 0.8		
4334	p ɨ - - - - -	PI	1110	7917	mao1	HAND	Karitiana	0	pɨ	pɨ	35	Karitiana	HAND	35.P.C 35.I.V	AX	1 7	p ɨ	pɨ	2.0 1.5		
4335	- o s e n	USEN	1118	7994	felizcontente	HAPPY	Karitiana	0	osen	osen	35	Karitiana	HAPPY	35.U.V 35.S.C 35.E.V 35.N.c	XBYN	7 3 7 4	o s e n	osen	1.5 1.75 1.3 0.8		
4336	p ɨ p ɨ r ĩ	PIPIRI	1132	8051	gaviao	HAWK	Karitiana	0	pɨpɨrĩ	pɨpɨrĩ	35	Karitiana	HAWK	35.P.C 35.I.V 35.P.C 35.I.V 35.R.C 35.I.V	AXBYBZ	1 7 1 7 5 7	p ɨ p ɨ r ĩ	pɨpɨrĩ	2.0 1.5 1.75 1.3 1.75 0.8		
4337	- ʔ o	HU	1138	8113	cabeca	HEAD	Karitiana	0	ʔo	ʔo	35	Karitiana	HEAD	35.H.C 35.U.V	AX	1 7	ʔ o	ʔo	2.0 1.5		
4338	o p - i h o k	UPIHUK	1152	8222	escutarouvir	HEAR	Karitiana	0	opihok	opihok	35	Karitiana	HEAR	35.U.V 35.P.C 35.I.V 35.H.C 35.U.V 35.K.c	XBYBYN	7 1 7 3 7 1	o p i h o k	opihok	1.5 1.75 1.3 1.75 1.3 0.8		
4339	h a n ĩ m p a	HANIPA	3898	2213	coracao	HEART	Karitiana	0	hanĩmpa	hanĩmp/ⁿpa	35	Karitiana	HEART	35.H.C 35.A.V 35.N.C 35.I.V 35.P.C 35.A.V	AXBYBZ	3 7 4 7 1 7	h a n ĩ m p a	hanĩmpa	2.0 1.5 1.75 1.3 1.75 0.8		
4340	- p ɨ - t i - -	PITI	1163	8339	pesado1	HEAVY	Karitiana	0	pɨti	pɨti	35	Karitiana	HEAVY	35.P.C 35.I.V 35.T.C 35.I.V	AXBZ	1 7 1 7	p ɨ t i	pɨti	2.0 1.5 1.75 0.8		
4341	- - p ɨo t a - - g - - -	PITAK	1172	8426	ajudar	HELP	Karitiana	0	pɨotag	pɨotag	35	Karitiana	HELP	35.P.C 35.I.V 35.T.C 35.A.V 35.K.c	AXBYN	1 7 1 7 1	p ɨo t a g	pɨotag	2.0 1.5 1.75 1.3 0.8		
4342	- o p o g a k o	UPUKAKU	1180	8467	galinha	HEN / CHICKEN	Karitiana	0	opogako	opogako	35	Karitiana	HEN	35.U.V 35.P.C 35.U.V 35.K.C 35.A.V 35.K.C 35.U.V	XBYBYBZ	7 1 7 1 7 1 7	o p o g a k o	opogako	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
4343	h e j	HEJ	1196	8566	esconder	HIDE	Karitiana	0	hej	hej	35	Karitiana	HIDE	35.H.C 35.E.V 35.J.c	AXN	3 7 6	h e j	hej	2.0 1.5 0.8		
4344	ʔ o p	HUP	1204	8673	buraco	HOLE	Karitiana	0	'op	ʔop	35	Karitiana	HOLE	35.H.C 35.U.V 35.P.c	AXN	1 7 1	ʔ o p	'op	2.0 1.5 0.8		
4345	- o p i k ĩ ɲ õ	UPIKINU	1217	8764	chifre	HORN	Karitiana	0	opikĩɲõ	opikĩɲõ	35	Karitiana	HORN	35.U.V 35.P.C 35.I.V 35.K.C 35.I.V 35.N.C 35.U.V	XBYBYBZ	7 1 7 1 7 4 7	o p i k ĩ ɲ õ	opikĩɲõ	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
4346	- o k ɨ - -	UKI	1221	8807	quente1	HOT	Karitiana	0	okɨ	okɨ	35	Karitiana	HOT	35.U.V 35.K.C 35.I.V	XBZ	7 1 7	o k ɨ	okɨ	1.5 1.75 0.8	Of Cariban origin	YES
4347	a m i	AMI	1229	8877	casa	HOUSE	Karitiana	0	ami	ami	35	Karitiana	HOUSE	35.A.V 35.M.C 35.I.V	XBZ	7 4 7	a m i	ami	1.5 1.75 0.8		
4348	k i - n a + p a p ɨ n ã -	KINA_PAPINA	1233	8950 8952	beijaflorcolibri	HUMMINGBIRD	Karitiana	0	kina papɨnã	kina+papɨnã	35	Karitiana	HUMMINGBIRD _hummingbird	35.K.C 35.I.V 35.N.C 35.A.V 35._._ 35.P.C 35.A.V 35.P.C 35.I.V 35.N.C 35.A.V	AXBZ_AXBYBZ	1 7 4 7 9 1 7 1 7 4 7	k i n a + p a p ɨ n ã	kina papɨnã	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8		
4349	m ã - n -	MAN	1251	9045	marido1	HUSBAND	Karitiana	0	mãn	mãn	35	Karitiana	HUSBAND	35.M.C 35.A.V 35.N.c	AXN	4 7 4	m ã n	mãn	2.0 1.5 0.8		
4350	- ɨ̃ n -	IN	1258	9103	eu2	I	Karitiana	0	ɨ̃n	ɨ̃n	35	Karitiana	I	35.I.V 35.N.c	XN	7 4	ɨ̃ n	ɨ̃n	1.5 0.8		
4351	eː m ɨ k	EMIK	1268	9163	inga	INGA	Karitiana	0	eemɨk	eːmɨk	35	Karitiana	INGA	35.E.V 35.M.C 35.I.V 35.K.c	XBYN	7 4 7 1	eː m ɨ k	eemɨk	1.5 1.75 1.3 0.8		
4352	- o - - s ɨ	USI	1276	9203	jacare6	JACARÉ / CAIMAN / CROCODILE	Karitiana	0	osɨ	osɨ	35	Karitiana	JACARÉ	35.U.V 35.S.C 35.I.V	XBZ	7 3 7	o s ɨ	osɨ	1.5 1.75 0.8		
4353	õ m a - k ɨ	UMAKI	1280	4729	onca	JAGUAR	Karitiana	0	õmakɨ	õmakɨ	35	Karitiana	JAGUAR	35.U.V 35.M.C 35.A.V 35.K.C 35.I.V	XBYBZ	7 4 7 1 7	õ m a k ɨ	õmakɨ	1.5 1.75 1.3 1.75 0.8		
4354	- o - - k - - ɨ	UKI	4705	3157	matar	KILL	Karitiana	1	okɨ	okɨ	35	Karitiana	KILL	35.U.V 35.K.C 35.I.V	XBZ	7 1 7	o k ɨ	okɨ	1.5 1.75 0.8		
4355	t a k t + t a k t	TAKT_TAKT	1301	9443 9444	guardariosmartimpescador	KING FISHER	Karitiana	0	takt takt	takt+takt	35	Karitiana	KING.FISHER _king	35.T.C 35.A.V 35.K.c 35.T.c 35._._ 35.T.C 35.A.V 35.K.c 35.T.c	AXLN_AXLN	1 7 1 1 9 1 7 1 1	t a k t + t a k t	takt takt	2.0 1.5 1.1 0.8 0.0 2.0 1.5 1.1 0.8		
4356	s ae w o t ɨ t	SAWUTIT	1310	9478	joelho	KNEE	Karitiana	0	saewotɨt	saewotɨt	35	Karitiana	KNEE	35.S.C 35.A.V 35.W.C 35.U.V 35.T.C 35.I.V 35.T.c	AXBYBYN	3 7 6 7 1 7 1	s ae w o t ɨ t	saewotɨt	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
4357	t ã nʰ - - - - - -	TAN	3711	1952	faca	KNIFE	Karitiana	0	tãnh	tãnʰ	35	Karitiana	KNIFE	35.T.C 35.A.V 35.N.c	AXN	1 7 4	t ã nʰ	tãnh	2.0 1.5 0.8		
4358	- - s õ n/d ɨ p	SUTIP	1320	9599	saber	KNOW	Karitiana	0	sõndɨp	sõnd/ⁿdɨp	35	Karitiana	KNOW	35.S.C 35.U.V 35.T.C 35.I.V 35.P.c	AXBYN	3 7 1 7 1	s õ n/d ɨ p	sõndɨp	2.0 1.5 1.75 1.3 0.8	'know a fact' < **entup 'hear/listen'	
