ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	BORROWING	NOTE
4543	Arikem	CONSUME (DRINK OR EAT)	seu / kana / pudʒu	seu	s eu	s - eu - -	4894	216	INGEST		
4547	Arikem	CONSUME (DRINK OR EAT)	seu / kana / pudʒu	kana	k a n a	k - a n a - -	4903	2172	INGEST		
4772	Xipaya	CONSUME (DRINK OR EAT)	wi / etúku / ʃu	wi	w i	w i - - -	3310	18593	INGEST		
4778	Xipaya	CONSUME (DRINK OR EAT)	wi / etúku / ʃu	etúku	e t ú k u	e t ú k u	4890	3407	INGEST		
4779	Xipaya	CONSUME (DRINK OR EAT)	wi / etúku / ʃu	ʃu	ʃ u	ʃ u - - - - - -	4895	3410	INGEST		
5105	Juruna	CONSUME (DRINK OR EAT)	ʔu / iʃú / etʃúkú / awí	awí	a w í	- a w - í	4887	3405	INGEST		
5110	Juruna	CONSUME (DRINK OR EAT)	iʃú / etʃúkú / awíʔu / iʃú / etʃúkú / awí	etʃúkú	e tʃ ú k ú	e tʃ ú k ú	4890	3407	INGEST		
5111	Juruna	CONSUME (DRINK OR EAT)	ʔu / iʃú / etʃúkú / awí	iʃú	i ʃ ú	- i ʃ - - - ú -	4900	1374	INGEST		
5454	Mundurukú	CONSUME (DRINK OR EAT)	kṍn / ʔó	kṍn	k ṍ n	- - - k ṍ n	4903	2172	INGEST		Intransitive
5461	Mundurukú	CONSUME (DRINK OR EAT)	kṍn / ʔó	ʔó	ʔ ó	- ʔ ó - -	4899	2172	INGEST		Transitive
5819	Kuruaya	CONSUME (DRINK OR EAT)	kõn / ʔó	kõn	k õ n	k - õ n - - -	4903	2172	INGEST		Intransitive
5820	Kuruaya	CONSUME (DRINK OR EAT)	kõn / ʔó	ʔó	ʔ ó	- ʔ ó - -	4899	2172	INGEST		Transitive
6131	Mawe	CONSUME (DRINK OR EAT)	are ʔɨʔu / at uʔu / nuk	are ʔɨʔu	a ɾ e + ʔ ɨ + ʔ u	a ɾ e + - ʔ ɨ + - ʔ u	4885	2051 18593 2172	? LIQUID INGEST		
6136	Mawe	CONSUME (DRINK OR EAT)	are ʔɨʔu / at uʔu / nuk	at uʔu	a t + u ʔ u	- a t + u ʔ u -	4886	5207 2172	? INGEST		
6137	Mawe	CONSUME (DRINK OR EAT)	are ʔɨʔu / at uʔu / nuk	nuk	n u k	n u k -	739	5205	INGEST		
6483	Awetí	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ɨʔu	ɨ + ʔ u	- - ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
6487	Awetí	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
6802	Parakana	CONSUME (DRINK OR EAT)	ʔɨo / karo / ʔo	ʔɨo	ʔ ɨ + o	- ʔ ɨ + - - o - -	699	18593 2172	LIQUID INGEST		
6807	Parakana	CONSUME (DRINK OR EAT)	ʔɨo / karo / ʔo	karo	k a r + o	k a r + o	4902	5199 2172	THING -INGEST		
6808	Parakana	CONSUME (DRINK OR EAT)	ʔɨo / karo / ʔo	ʔo	ʔ o	- ʔ o - -	4899	2172	INGEST		
7117	Asuriní Tocantins	CONSUME (DRINK OR EAT)	ʔo	ʔo	ʔ o	- ʔ o - -	4899	2172	INGEST		
7379	Surui-Aikewara	CONSUME (DRINK OR EAT)	ʔɨʔu / karu / ʔu	ʔɨʔu	ʔ ɨ + ʔ u	- ʔ ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
7384	Surui-Aikewara	CONSUME (DRINK OR EAT)	ʔɨʔu / karu / ʔu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
7385	Surui-Aikewara	CONSUME (DRINK OR EAT)	ʔɨʔu / karu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
7695	Tapirapé	CONSUME (DRINK OR EAT)	ʔɨʔo / kãro / ʔo	ʔɨʔo	ʔ ɨ + ʔ o	- ʔ ɨ + - ʔ o - -	699	18593 2172	LIQUID INGEST		
7700	Tapirapé	CONSUME (DRINK OR EAT)	ʔɨʔo / kãro / ʔo	kãro	k ã r + o	k ã r + o	4902	5199 2172	THING -INGEST		
7701	Tapirapé	CONSUME (DRINK OR EAT)	ʔɨʔo / kãro / ʔo	ʔo	ʔ o	- ʔ o - -	4899	2172	INGEST		
7984	Tembe	CONSUME (DRINK OR EAT)	iʔu / ʔu	iʔu	i + ʔ u	- - i + - ʔ u - -	699	18593 2172	LIQUID INGEST		
7989	Tembe	CONSUME (DRINK OR EAT)	iʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
8314	Guajajara	CONSUME (DRINK OR EAT)	iʔu / ʔu	iʔu	i + ʔ u	- - i + - ʔ u - -	699	18593 2172	LIQUID INGEST		
8637	Apiaka	CONSUME (DRINK OR EAT)	ʔo	ʔo	ʔ o	- ʔ o - -	4899	2172	INGEST		
8912	Parintintin	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ɨʔu	ɨ + ʔ u	- - ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
9247	Amondawa	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ɨʔu	ɨ + ʔ u	- - ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
9251	Amondawa	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
9561	Tenharim	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ɨʔu	ɨ + ʔ u	- - ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
9565	Tenharim	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
9916	Juma	CONSUME (DRINK OR EAT)	ʔu / iʃú / etʃúkú / awí	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
10008	Urueuwauwau	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ɨʔu	ɨ + ʔ u	- - ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
10012	Urueuwauwau	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
10227	Wirafed	CONSUME (DRINK OR EAT)	ɨu / u	ɨu	ɨ + u	- - ɨ + - - u - -	699	18593 2172	LIQUID INGEST		
10230	Wirafed	CONSUME (DRINK OR EAT)	ɨu / u	u	u	- - u - -	4899	2172	INGEST		
10356	Kayabi	CONSUME (DRINK OR EAT)	ʔu / jemiʔwat	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
10360	Kayabi	CONSUME (DRINK OR EAT)	ʔu / jemiʔwat	jemiʔwat	j e m i ʔ w a t	j e m i ʔ w a t	742	5206	INGEST		
10607	Araweté	CONSUME (DRINK OR EAT)	ʔu / karu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
10611	Araweté	CONSUME (DRINK OR EAT)	ʔu / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
10848	Anambe Ehrenreich	CONSUME (DRINK OR EAT)	aʔu / karu	aʔu	a + ʔ u	- - a + - ʔ u - -	738	134 2172	LIQUID INGEST		
10851	Anambe Ehrenreich	CONSUME (DRINK OR EAT)	aʔu / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
10958	Guajá	CONSUME (DRINK OR EAT)	wɨʔu / ʔu	wɨʔu	w ɨ + ʔ u	- w ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
11345	Teko	CONSUME (DRINK OR EAT)	wa / ʔu	wa	w a	- w a -	702	5201	INGEST		
11346	Teko	CONSUME (DRINK OR EAT)	wa / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
11736	Wayampi	CONSUME (DRINK OR EAT)	ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
12079	Zo'e	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ɨʔu	ɨ + ʔ u	- - ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
12345	Ka'apor	CONSUME (DRINK OR EAT)	ʔu / uʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
12631	Anambe	CONSUME (DRINK OR EAT)	ʔu / karu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
12635	Anambe	CONSUME (DRINK OR EAT)	ʔu / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
12813	Turiwara	CONSUME (DRINK OR EAT)	mbaeú	mbaeú	m/b ae + ú	- m/b ae + ú	737	16725 2172	THING INGEST		
12920	Kamajura	CONSUME (DRINK OR EAT)	ɨʔu / karu	ɨʔu	ɨ + ʔ u	- - ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
12925	Kamajura	CONSUME (DRINK OR EAT)	ɨʔu / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
13196	Asuriní Xingu	CONSUME (DRINK OR EAT)	karo / ʔu	karo	k a r + o	k a r + o	4902	5199 2172	THING -INGEST		
13448	Ava Canoeiro	CONSUME (DRINK OR EAT)	ɨu / u	ɨu	ɨ + u	- - ɨ + - - u - -	699	18593 2172	LIQUID INGEST		
13721	Tupinambá	CONSUME (DRINK OR EAT)	kaɾu / ʔu	kaɾu	k a ɾ + u	k a ɾ + u	4902	5199 2172	THING INGEST		
13722	Tupinambá	CONSUME (DRINK OR EAT)	kaɾu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
14101	Nheengatu	CONSUME (DRINK OR EAT)	u / mbaú	u	u	- - u - -	4899	2172	INGEST		
14106	Nheengatu	CONSUME (DRINK OR EAT)	u / mbaú	mbaú	m/b a + ú	- m/b a + ú	737	16725 2172	THING INGEST		
14434	Tupí Austral	CONSUME (DRINK OR EAT)	uu / karu	uu	uː	- - uː - -	4899	2172	INGEST		
14435	Tupí Austral	CONSUME (DRINK OR EAT)	uu / karu	karu	k a r + u	k a r + - - u - -	4902	5199 2172	THING INGEST		
14687	Yuki	CONSUME (DRINK OR EAT)	u / kiaru	u	u	- - u - -	4899	2172	INGEST		
14692	Yuki	CONSUME (DRINK OR EAT)	u / kiaru	kiaru	k ia r + u	k ia r + u	4902	5199 2172	THING -INGEST		
14947	Guarayo Hoeller	CONSUME (DRINK OR EAT)	ɨʔu / karu	ɨʔu	ɨ ʔ u	ɨ ʔ u - -	4899	2172	INGEST		
15272	Siriono	CONSUME (DRINK OR EAT)	karu / u	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
15273	Siriono	CONSUME (DRINK OR EAT)	karu / u	u	u	- - u - -	4899	2172	INGEST		
15566	Warazu	CONSUME (DRINK OR EAT)	ʔu / kiaru	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
15570	Warazu	CONSUME (DRINK OR EAT)	ʔu / kiaru	kiaru	k ia r + u	k ia r + u	4902	5199 2172	THING -INGEST		
15821	Chiriguano	CONSUME (DRINK OR EAT)	u / karu	u	u	- - u - -	4899	2172	INGEST		
15826	Chiriguano	CONSUME (DRINK OR EAT)	u / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
16053	Jora	CONSUME (DRINK OR EAT)	iu	iu	i + u	- - i + - - u - -	699	18593 2172	LIQUID INGEST		
16227	Mbya	CONSUME (DRINK OR EAT)	karu / ʔu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
16228	Mbya	CONSUME (DRINK OR EAT)	karu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
16575	Guaraní	CONSUME (DRINK OR EAT)	ʔɨʔu / karu / ʔu	ʔɨʔu	ʔ ɨ + ʔ u	- ʔ ɨ + - ʔ u - -	699	18593 2172	LIQUID INGEST		
16580	Guaraní	CONSUME (DRINK OR EAT)	ʔɨʔu / karu / ʔu	karu	k a ɾ + u	k a ɾ + u	4902	5199 2172	THING -INGEST		
16581	Guaraní	CONSUME (DRINK OR EAT)	ʔɨʔu / karu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
16916	Old Guaraní	CONSUME (DRINK OR EAT)	ʔu / karu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
16922	Old Guaraní	CONSUME (DRINK OR EAT)	ʔu / karu	karu	k a ɾ + u	k a ɾ + u	4902	5199 2172	THING -INGEST		
17215	Ache	CONSUME (DRINK OR EAT)	tɨku / uʔu	tɨku	t ɨ + k u	- t ɨ + - k u - -	4897	18593 2172	LIQUID INGEST		
17220	Ache	CONSUME (DRINK OR EAT)	tɨku / uʔu	uʔu	u ʔ u	u ʔ u - -	4899	2172	INGEST		
17467	Xeta	CONSUME (DRINK OR EAT)	karu / tejona	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
17468	Xeta	CONSUME (DRINK OR EAT)	karu / tejona	tejona	t e j o n a	t e j o n a	4896	3411	INGEST		
17681	Kaiowa	CONSUME (DRINK OR EAT)	ʔu / karu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
17684	Kaiowa	CONSUME (DRINK OR EAT)	ʔu / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
17925	Tapiete	CONSUME (DRINK OR EAT)	ʔu / karu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
17932	Tapiete	CONSUME (DRINK OR EAT)	ʔu / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
18433	Omagua	CONSUME (DRINK OR EAT)	kurata / ɪu	kurata	k u r a t a	k u r - a t a	4892	12	INGEST		
18439	Omagua	CONSUME (DRINK OR EAT)	kurata / ɪu	ɪu	ɪu	ɪu	4901	2172	INGEST		
18715	Kokama	CONSUME (DRINK OR EAT)	kurata / eju	kurata	k u r a t a	k u r - a t a	4892	12	INGEST		
18721	Kokama	CONSUME (DRINK OR EAT)	kurata / eju	eju	e j u	- e j u - -	4901	2172	INGEST		
18940	Karitiana	CONSUME (DRINK OR EAT)	ʔɨ / ahɨ / pɨtʔɨ	ʔɨ	ʔ ɨ	- ʔ ɨ - -	4899	2172	INGEST		
18941	Karitiana	CONSUME (DRINK OR EAT)	ʔɨ / ahɨ / pɨtʔɨ	ahɨ	a h ɨ	a h ɨ	1239	3401	INGEST		
19307	Arikem	CONSUME (DRINK OR EAT)	seu / kana / pudʒu	pudʒu	p u + dʒ u	p u + dʒ u	4893	151 2172	ASSERTIVE INGEST		
20590	Guajá	CONSUME (DRINK OR EAT)	wɨʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
20664	Ntogapid-Itogapuk	CONSUME (DRINK OR EAT)	noga	noga	n o g a	n o g a	739	5205	INGEST		
20669	Gavião	CONSUME (DRINK OR EAT)	βa / neβa	neβa	n e + β a	n e + - β a -	734	597 5201	? INGEST		
20730	Parintintin	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
20832	Zo'e	CONSUME (DRINK OR EAT)	ɨʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
21195	Kepkiriwat	CONSUME (DRINK OR EAT)	iuka(mon) / ikwa(min)	iuka(mon)	iu + k a	iu + k a	700	18593 2172	LIQUID INGEST		
21350	Uruku	CONSUME (DRINK OR EAT)	ʔova / ndoʔga	ʔova	ʔ o v a	- ʔ o v a	4899	2172	INGEST		
21451	Uruku	CONSUME (DRINK OR EAT)	ʔova / ndoʔga	ndoʔga	n/d o ʔ g a	n/d o ʔ g a	739	5205	INGEST		
21623	Ka'apor	CONSUME (DRINK OR EAT)	ʔu / uʔu	uʔu	u ʔ u	u ʔ u - -	4899	2172	INGEST		
21782	Guarayo Hoeller	CONSUME (DRINK OR EAT)	ɨʔu / karu	karu	k a r + u	k a r + u	4902	5199 2172	THING -INGEST		
21982	Kepkiriwat	CONSUME (DRINK OR EAT)	iuka(mon) / ikwa(min)	ikwa(min)	i kʷ a	i kʷ a	3579	1770	INGEST		
22126	Urumi	CONSUME (DRINK OR EAT)	meke	meke	m e k e	m e k e	410	646	INGEST		
22231	Kampe	CONSUME (DRINK OR EAT)	ka	ka	k a	k a	4903	2172	INGEST		
22581	Ava Canoeiro	CONSUME (DRINK OR EAT)	ɨu / u	u	u	- - u - -	4899	2172	INGEST		
22815	Surui-Paiter	CONSUME (DRINK OR EAT)	gudguda / íwa / hóa	hóa	ɬ ó a	ɬ ó a	4891	3409	INGEST		Same as "to chew"
23116	Akuntsu	CONSUME (DRINK OR EAT)	apeka / ko	apeka	a p e k a	a p e k a	4471	2880	INGEST		
23634	Açuã Tupi	CONSUME (DRINK OR EAT)	ʔju / ʔu	ʔju	ʔ i + u	ʔ i + u	699	18593 2172	LIQUID INGEST		
23686	Açuã Tupi	CONSUME (DRINK OR EAT)	ʔju / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
24301	Asuriní Xingu	CONSUME (DRINK OR EAT)	karo / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
24302	Guajajara	CONSUME (DRINK OR EAT)	iʔu / ʔu	ʔu	ʔ u	- ʔ u - -	4899	2172	INGEST		
28028	Chiriguano	CONSUME (DRINK OR EAT)	u	u	u	u	6537	2172	INGEST		
22322	Akuntsu	COOK (SOMETHING)	peɾop	peɾop	p ɛ ɾ o p	p ɛ ɾ o p	3997	2350	COOK		
22323	Tupinambá	COOK (SOMETHING)	moapɨk / mojɨβ	moapɨk	m o + a p ɨ k	m o + a p ɨ k	4027	522 626	CAUSATIVE SIT		
22324	Tupinambá	COOK (SOMETHING)	moapɨk / mojɨβ	mojɨβ	m o + j ɨ b	m o + j ɨ b	3996	522 2352	CAUSATIVE COOK		
22325	Zo'e	COOK (SOMETHING)	iɨ	iɨ	iɨ	iɨ	3996	2352	COOK		
22326	Mundurukú	COOK (SOMETHING)	dá / wib	dá	d á	d á	4026	2386	COOK		
22329	Ache	COOK (SOMETHING)	baku	baku	b a k u	b a k u	4024	2383	COOK		
22330	Chiriguano	COOK (SOMETHING)	mbojɨ / mõi	mbojɨ	m/b o + j ɨ	m/b o + j ɨ	3996	522 2352	CAUSATIVE COOK		
22331	Chiriguano	COOK (SOMETHING)	mbojɨ / mõi	mõi	m õ + i	m õ + i	3996	522 2352	CAUSATIVE COOK		
22332	Guaraní	COOK (SOMETHING)	mbojɨ	mbojɨ	m/b o + j ɨ	m/b o + j ɨ	3996	522 2352	CAUSATIVE COOK		
22334	Siriono	COOK (SOMETHING)	mutʃi	mutʃi	m u + tʃ i	m u + tʃ i	3996	522 2352	CAUSATIVE COOK		
22335	Wayampi	COOK (SOMETHING)	jɨ	jɨ	j ɨ	j ɨ	3996	2352	COOK		
22336	Mundurukú	COOK (SOMETHING)	dá / wib	wib	w i b	w i b	4025	2385	COOK		
22337	Guarayo Hoeller	COOK (SOMETHING)	mbojɨ / mõi	mbojɨ	m/b o + j ɨ	m/b o + j ɨ	3996	522 2352	CAUSATIVE COOK		
22338	Guarayo Hoeller	COOK (SOMETHING)	mbojɨ / mõi	mõi	m õ + i	m õ + i	3996	522 2352	CAUSATIVE COOK		
22340	Gavião	COOK (SOMETHING)	βiì / máβi	βiì	β iì	β iì	4029	2388	COOK		
22341	Gavião	COOK (SOMETHING)	βiì / máβi	máβi	m á + β i	m á + β i	3996	522 2352	CAUSATIVE COOK		
22342	Surui-Paiter	COOK (SOMETHING)	isír	isír	i s í r	i s í r	3996	2352	COOK		tí(ː)r
22386	Mekens	COOK (SOMETHING)	peɾop	peɾop	p e ɾ o p	p e ɾ o p	3997	2350	COOK		
22387	Tupari	COOK (SOMETHING)	sɨt / ur	sɨt	s ɨ t	s ɨ t	3996	2352	COOK		
22388	Tupari	COOK (SOMETHING)	sɨt / ur	ur	u r	u r	4028	2387	COOK		
22389	Wayoro	COOK (SOMETHING)	pɨ	pɨ	p ɨ	p ɨ	3996	2692	BURN		pʉ[k]
22390	Makurap	COOK (SOMETHING)	waok	waok	ua o k	ua o k	4028	2387	COOK		
22424	Parintintin	COOK (SOMETHING)	mboruru / emboapɨŋ	mboruru	m/b o + ɾ u ɾ u	m/b o + ɾ u ɾ u	3996	522 469	CAUSATIVE COOK		
22425	Parintintin	COOK (SOMETHING)	mboruru / emboapɨŋ	emboapɨŋ	e m/b o + a p ɨ ŋ	e m/b o + a p ɨ ŋ	3996	522 2352	CAUSATIVE COOK		
22474	Asuriní Tocantins	COOK (SOMETHING)	moapɨŋ	moapɨŋ	m o + a p ɨ ŋ	m o + a p ɨ ŋ	4027	522 626	CAUSATIVE SIT		
22475	Asuriní Tocantins	COOK (SOMETHING)	pɨpot	pɨpot	p ɨ + p o t	p ɨ + p o t	3996	2692 2435	BURN ?		Intransitive
22527	Kaiowa	COOK (SOMETHING)	jɨ	jɨ	j ɨ	j ɨ	3996	2352	COOK		
22531	Ava Canoeiro	COOK (SOMETHING)	mapɨk	mapɨk	m a + p ɨ k	m a + p ɨ k	4027	522 626	CAUSATIVE SIT		
22585	Juruna	COOK (SOMETHING)	uhu / wi / ju	uhu	u h u	u h u	4095	2456	COOK		Inchoative
22588	Juruna	COOK (SOMETHING)	uhu / wi / ju	wi	w i	w i	4025	2385	COOK		transitive
22590	Juruna	COOK (SOMETHING)	uhu / wi / ju	ju	j u	j u	3996	2352	COOK		transitive
22607	Karitiana	COOK (SOMETHING)	mhip / otet	mhip	m + h i p	m + h i p	4025	522 2385	CAUSATIVE HOT		
22729	Yuki	COOK (SOMETHING)	moi	moi	m o + i	m o + i	3996	522 2352	CAUSATIVE COOK		
22889	Surui-Aikewara	COOK (SOMETHING)	muapɨg	muapɨg	m u + a p ɨ g	m u + a p ɨ g	4027	522 626	CAUSATIVE SIT		
22921	Karitiana	COOK (SOMETHING)	mhip / otet	otet	o t e t	o t e t	3996	2352	COOK		
22923	Mawe	COOK (SOMETHING)	miʔu nuŋ	miʔu nuŋ	m i ʔ u + n u ŋ	m i ʔ u + n u ŋ	4344	6661 4670	COOK DO		
22988	Guajá	COOK (SOMETHING)	mĩhĩ	mĩhĩ	m ĩ + h ĩ	m ĩ + h ĩ	3996	522 2352	CAUSATIVE COOK		
23823	Warazu	COOK (SOMETHING)	moði	moði	m o + ð i	m o + ð i	3996	522 2352	CAUSATIVE COOK		
24273	LGA XVIII	COOK (SOMETHING)	moɲaŋ / tembiu	moɲaŋ	m o + ɲ a ŋ	m o + ɲ a ŋ	3996	522 4668	CAUSATIVE MAKE		
24274	LGA XVIII	COOK (SOMETHING)	moɲaŋ / tembiu	tembiu	t e m/b i + u	t e m/b i + u	3031	770 5199	NOMINALIZER INGEST		
26067	Guajajara	COOK (SOMETHING)	zemiʔu apo / mimoz	zemiʔu apo	z e m i ʔ u + a p o	z e m i ʔ u + a p o	4344	6661 4221	COOK ?		
26068	Tembe	COOK (SOMETHING)	mɨnuj	mɨnuj	m ɨ + n ui	m ɨ + n ui	3996	522 2352	CAUSATIVE COOK		
26069	Guajajara	COOK (SOMETHING)	zemiʔu apo / mimoz	mimoz	m i + m o z	m i + m o z	3996	522 2352	CAUSATIVE COOK		cook using water
26240	Teko	COOK (SOMETHING)	mumũñ	mumũñ	m u m ũ ɲ	m u m ũ ɲ	4375	837	COOK		
27736	Tupí Austral	COOK (SOMETHING)	boju	boju	b o + j u	b o + j u	3996	522 2352	CAUSATIVE COOK		
28338	Tupinambá	COOK (SOMETHING)	memũi	memũi	m e m ũi	m e m ũi	6368	5040	COOK		
28634	Proto-Tupi	COOK (SOMETHING)	tɯ[t]	tɯt	t ɯ t	t ɯ t	3996	2352	COOK		
28635	Awetí	COOK (SOMETHING)	(te)tɨt	tɨt	t ɨ t	t ɨ t	3996	2352	COOK		
28636	Proto-Tupi-Guarani	COOK (SOMETHING)	(te)tsɨt	tsɨt	ts ɨ t	ts ɨ t	3996	2352	COOK		
28637	Karo	COOK (SOMETHING)	tɨt	tɨt	t ɨ t	t ɨ t	3996	2352	COOK		
25523	Chiriguano	CORPSE	teõᵑwe	teõᵑwe	t eõ + ᵑw e	t eõ + ᵑw e	5905	4531 4530	? PAST		
26387	Guajajara	CORPSE	manogwer	manogwer	m a n o + gʷ e r	m a n o + gʷ e r	5581	4510 4530	DIE PAST		
26388	Tembe	CORPSE	manoŋwer	manoŋwer	m a n o + ŋ w e r	m a n o + ŋw e r	5581	4510 4530	DIE PAST		
26758	Ache	CORPSE	manowegi	manowegi	m a n o + w e g i	m a n o + w e g i	5581	4510 4530	DIE PAST		
26874	Teko	CORPSE	eawan	eawan	ea w a n	ea w a n	5548	4533	CORPSE		
27001	Siriono	CORPSE	ŋirauta	ŋirauta	ŋ i r au t a	ŋ i r au t a	5906	4532	CORPSE		
27098	Yuki	CORPSE	iague	iague	ia + gʷ e	ia + gʷ e	6098	4770 4530	? PAST		
27213	Guaraní	CORPSE	teʔoᵑgʷe	teʔoᵑgʷe	t e ʔ oᵑ + gʷ e	t e ʔ oᵑ + gʷ e	5905	4531 4530	? PAST		
27345	Wayampi	CORPSE	tɛãŋe / awakɛ	awakɛ	a w a k ɛ	a w a k ɛ	6097	4769	CORPSE		
27346	Wayampi	CORPSE	tɛãŋe / awakɛ	tɛãŋe	t ɛã + ŋ e	t ɛã + ŋ e	5905	4531 4530	? PAST		
29087	Guarayo Hoeller	CORPSE	eoᵑgʷer	eoᵑgʷer	eo ᵑgʷ e r	eo ᵑgʷ e r	5905	4531 4530	BODY PAST		
75	Karo	COTTON	mok	mok	m o k	- m o k - -	562	1420	COTTON		
421	Purubora	COTTON	akopak	akopak	a k o p + a k	a k o p + - - a k - -	561	3880 1420	COTTON ?		
644	Ntogapid-Itogapuk	COTTON	mbóg	mbóg	m/b ó g	- m/b ó g - -	562	1420	COTTON		
738	Ramarama	COTTON	emok	emok	e m o k	e m o k - -	562	1420	COTTON		
877	Makurap	COTTON	ororoʔ	ororoʔ	o r o r o ʔ	o r o r o - ʔ -	560	3878	COTTON		
1224	Wayoro	COTTON	ororo	ororo	o r o r o	o r o r o - - -	560	3878	COTTON		
1560	Tupari	COTTON	ororo	ororo	o r o r o	o r o r o	560	3878	COTTON		
1946	Akuntsu	COTTON	oɾoɾo	oɾoɾo	u ɾ u ɾ u	u ɾ u ɾ u - - -	560	3878	COTTON		
2315	Mekens	COTTON	oɾoɾo	oɾoɾo	o ɾ o ɾ o	o ɾ o ɾ o - - -	560	3878	COTTON		
2590	Cinta-Larga	COTTON	kopʃir	kopʃir	k o p + ʃ i r	- k o - p + ʃ i - r -	561	3880 1417	COTTON ?		
2788	Gavião	COTTON	gooptsiit	gooptsiit	g oː p + ts iː t	- g o o p + ts i i t -	561	3880 1417	COTTON ?		
3175	Monde	COTTON	kuktʃiit	kuktʃiit	k u k + tʃ iː t	- k u - k + tʃ i i t -	561	3880 1417	COTTON ?		
3437	Arua	COTTON	gooptsiit	gooptsiit	g oː p + ts iː t	- g o o p + ts i i t -	561	3880 1417	COTTON ?		
3620	Matanau	COTTON	akuptsiri	akuptsiri	a k u p + ts i r i	a k u - p + ts i - r i	561	3880 1417	COTTON ?		The second morpheme could mean 'flower'
3752	Zoro	COTTON	goopʃiit	goopʃiit	g oː p + ʃ iː t	- g o o p + ʃ i i t -	561	3880 1417	COTTON ?		
3960	Surui-Paiter	COTTON	ŋoob (lir)	ŋoob	ŋ oː b	- ŋ o o b	561	3880	COTTON		
4282	Karitiana	COTTON	ererɨ	ererɨ	e r e r ɨ	e r e r ɨ - - -	560	3878	COTTON		
4534	Arikem	COTTON	ororoʔ	ororoʔ	o r o r o ʔ	o r o r o - ʔ -	560	3878	COTTON		
4753	Xipaya	COTTON	makua	makua	m a k ua	- m a k ua	2596	1416	COTTON		
